,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
88,Praia da Vitória,20,PT,1621730677,82,38.7333,-27.0667,57.76,7.02
89,Yellowknife,75,CA,1621729930,47,62.456,-114.3525,60.3,1.01
90,Port Hedland,6,AU,1621730677,43,-20.3167,118.5667,75.25,4.61
91,Alice Springs,91,AU,1621730281,27,-23.7,133.8833,67.55,12.71
92,Lashio,2,MM,1621730286,61,22.9333,97.75,80.89,0.65
93,Raahe,75,FI,1621730678,93,64.6833,24.4833,37.4,10.36
94,Coahuayana Viejo,1,MX,1621730346,35,18.7333,-103.6833,86.0,4.74
95,Bandarbeyla,100,SO,1621730282,75,9.4942,50.8122,81.0,14.67
96,Halifax,100,CA,1621730523,84,44.6453,-63.5724,53.69,4.0
97,Ca Mau,100,VN,1621730679,91,9.1769,105.15,77.18,9.31
98,Turinsk,100,RU,1621730679,84,58.0458,63.696,64.94,12.82
99,Kendari,28,ID,1621730680,82,-3.945,122.4989,81.07,1.16
100,Dunedin,0,NZ,1621730633,49,-45.8742,170.5036,53.28,3.76
101,Kahului,20,US,1621730680,60,20.8947,-156.47,86.02,18.41
102,Clyde River,75,CA,1621730203,86,70.4692,-68.5914,16.03,5.75
103,Makat,1,KZ,1621730216,16,47.6469,53.3463,77.02,17.83
104,Andilamena,16,MG,1621730681,97,-17.0167,48.5833,54.39,4.32
105,Jamuria,7,IN,1621730681,48,23.7,87.0833,89.94,1.05
106,Esperance,100,AU,1621730181,77,-33.8667,121.9,57.04,11.14
107,Severo-Kuril'sk,17,RU,1621730182,67,50.6789,156.125,45.19,2.71
108,Yangi Marg`ilon,49,UZ,1621730274,45,40.4272,71.7189,68.72,9.22
109,Codrington,100,AU,1621730234,41,-38.2667,141.9667,61.61,9.8
110,São Sepé,40,BR,1621730682,72,-30.1606,-53.5653,59.0,18.41
111,Dikson,100,RU,1621730171,98,73.5069,80.5464,33.78,20.49
112,Boké,73,GN,1621730683,86,10.9409,-14.2967,77.83,4.38
113,Asău,100,RO,1621730684,77,46.4333,26.4,58.39,4.94
114,Kuytun,30,RU,1621730684,58,54.3419,101.5036,45.45,9.86
115,Hithadhoo,84,MV,1621730118,70,-0.6,73.0833,84.04,12.44
116,Kruisfontein,5,ZA,1621730180,62,-34.0033,24.7314,49.17,6.53
117,Lebu,7,CL,1621730266,90,-37.6167,-73.65,50.72,7.58
118,Santa Cruz,1,MA,1621730685,69,30.4202,-9.5982,66.65,4.32
119,Erenhot,2,CN,1621730685,26,43.6475,111.9767,46.71,25.3
120,Narsaq,75,GL,1621730288,56,60.9167,-46.05,39.2,11.5
121,Bansang,100,GM,1621730686,34,13.4333,-14.65,86.34,6.82
122,Uthal,59,PK,1621730686,75,25.8072,66.6219,82.29,5.44
123,Entre Rios,78,BR,1621730687,98,-11.9419,-38.0844,70.07,2.28
124,Inhambane,22,MZ,1621730357,69,-23.865,35.3833,68.5,12.8
125,Bima,6,ID,1621730687,69,-8.4667,118.7167,83.71,3.53
126,São Filipe,2,CV,1621730166,80,14.8961,-24.4956,73.18,8.63
127,Stryn,98,NO,1621730688,79,61.9045,6.7226,51.31,5.35
128,Hong Kong,96,HK,1621729996,76,22.2855,114.1577,90.25,4.0
129,East London,3,ZA,1621730164,68,-33.0153,27.9116,56.03,10.07
130,Ternate,36,ID,1621730689,76,0.8,127.4,82.56,3.85
131,Caravelas,100,BR,1621730339,77,-17.7125,-39.2481,75.29,7.94
132,Mingyue,100,CN,1621730689,36,43.1069,128.9217,77.74,9.82
133,Bawku,100,GH,1621730690,45,11.0616,-0.2417,85.84,8.66
134,Husavik,100,IS,1621730315,94,66.0449,-17.3389,40.91,7.58
135,Lüderitz,13,NA,1621730206,42,-26.6481,15.1594,67.14,6.15
136,Palu,63,ID,1621730690,71,-0.8917,119.8707,85.51,0.49
137,George Town,20,MY,1621730084,85,5.4112,100.3354,80.89,0.0
138,Khatanga,100,RU,1621730200,92,71.9667,102.5,32.2,5.39
139,Campbell River,75,CA,1621730691,37,50.0163,-125.2446,75.58,5.75
140,Sambava,53,MG,1621730691,78,-14.2667,50.1667,72.86,14.05
141,Garoowe,99,SO,1621730692,68,8.4054,48.4845,76.71,21.72
142,Najrān,0,SA,1621730246,20,17.4924,44.1277,77.0,5.84
143,Mahibadhoo,100,MV,1621730692,75,3.7833,72.9667,83.8,17.94
144,Marsá Maţrūḩ,0,EG,1621730693,62,31.3525,27.2453,66.67,13.15
145,Mapiripán,79,CO,1621730693,94,2.8892,-72.1256,75.24,4.23
146,Saint Anthony,1,US,1621730280,66,45.0205,-93.218,83.17,1.99
147,Matara,100,LK,1621730694,86,5.9485,80.5353,80.37,11.74
148,Lanzhou,0,CN,1621730694,71,36.0564,103.7922,46.4,2.24
149,Poum,2,NC,1621730695,65,-20.2333,164.0167,74.57,11.14
150,Nome,90,US,1621730354,75,64.5011,-165.4064,36.16,9.22
151,Airai,34,TL,1621730354,54,-8.9266,125.4092,69.8,3.11
152,Brigantine,1,US,1621730696,69,39.4101,-74.3646,82.69,9.4
153,Bethel,1,US,1621730239,71,41.3712,-73.414,79.92,3.44
154,Hasaki,58,JP,1621730209,73,35.7333,140.8333,68.29,13.11
155,Elizabeth City,1,US,1621730645,66,36.2946,-76.2511,81.01,4.61
156,Yokadouma,96,CM,1621730696,99,3.5167,15.05,69.58,1.21
157,Shingū,0,JP,1621730342,53,33.7333,135.9833,70.79,4.34
158,Tilichiki,100,RU,1621730697,81,60.4667,166.1,35.58,12.46
159,Leningradskiy,100,RU,1621730697,91,69.3833,178.4167,32.88,12.55
160,Mayo,20,US,1621730235,62,38.8876,-76.5119,84.61,1.01
161,Buin,0,CL,1621730362,66,-33.7333,-70.75,50.0,4.61
162,Yulara,100,AU,1621730300,39,-25.2406,130.9889,62.6,9.22
163,Okha,100,RU,1621730698,92,53.5739,142.9478,36.84,6.55
164,Barra Patuca,67,HN,1621730699,85,15.8,-84.2833,78.82,11.45
165,Saint George,20,US,1621730224,13,37.1041,-113.5841,69.64,7.0
166,Lokosovo,100,RU,1621730699,61,61.1333,74.8167,66.15,9.66
167,Ponta Delgada,20,PT,1621730204,71,37.7333,-25.6667,56.12,5.75
168,Souillac,75,MU,1621730197,71,-20.5167,57.5167,69.37,16.91
169,Rio Grande,43,BR,1621730700,62,-32.035,-52.0986,55.94,18.12
170,Bengkulu,95,ID,1621730280,73,-3.8004,102.2655,79.07,3.0
171,Hargeisa,14,SO,1621730700,67,9.56,44.065,68.36,12.5
172,Tuatapere,0,NZ,1621730240,63,-46.1333,167.6833,49.82,3.15
173,Karema,100,TZ,1621730701,75,-6.8205,30.4389,69.67,7.47
174,Cidreira,0,BR,1621730218,78,-30.1811,-50.2056,60.42,12.15
175,Tanete,96,ID,1621730702,74,-3.9443,119.7848,82.13,7.2
176,Nuuk,90,GL,1621730702,74,64.1835,-51.7216,30.81,31.07
177,Aripuanã,100,BR,1621730234,82,-9.1667,-60.6333,77.16,0.96
178,Saskylakh,23,RU,1621730167,92,71.9167,114.0833,31.24,8.16
179,Karratha,7,AU,1621730172,22,-20.7377,116.8463,77.14,4.85
180,Ivrea,66,IT,1621730703,84,45.4672,7.8762,59.05,5.01
181,Opuwo,0,NA,1621730704,38,-18.0607,13.84,62.11,9.37
182,Jacksonville,75,US,1621730704,68,30.3322,-81.6556,76.21,1.01
183,Bang Len,74,TH,1621730704,66,14.0219,100.1718,86.97,9.04
184,Longyearbyen,20,SJ,1621730165,58,78.2186,15.6401,24.64,8.05
185,Durango,86,MX,1621730412,41,24.8333,-104.8333,70.2,10.22
186,Cumana,8,VE,1621730705,80,10.4635,-64.1775,82.49,13.06
187,Vao,0,NC,1621730203,64,-22.6667,167.4833,71.4,12.88
188,Cherskiy,61,RU,1621729990,59,68.75,161.3,38.21,3.83
189,Sofiyivka,2,UA,1621730706,66,48.0493,33.8746,48.36,6.38
190,Flin Flon,20,CA,1621730256,35,54.7682,-101.865,55.4,10.36
191,Bukama,100,CD,1621730706,57,-9.2,25.85,65.17,3.62
192,Mossamedes,6,AO,1621730191,66,-15.1961,12.1522,75.18,2.3
193,Vila Franca do Campo,7,PT,1621730337,68,37.7167,-25.4333,55.81,4.32
194,San Jose,20,US,1621730538,38,37.3394,-121.895,76.26,1.01
195,Bodden Town,20,KY,1621730707,74,19.2833,-81.25,82.4,21.85
196,Arman',100,RU,1621730708,77,59.7,150.1667,38.73,5.23
197,Klaksvík,27,FO,1621730210,78,62.2266,-6.589,41.92,3.69
198,Talnakh,79,RU,1621730708,99,69.4865,88.3972,35.71,15.82
199,Cairns,75,AU,1621730709,73,-16.9167,145.7667,81.07,11.5
200,Kutum,0,SD,1621730188,12,14.2,24.6667,74.75,10.92
201,Ahipara,100,NZ,1621730709,71,-35.1667,173.1667,59.18,21.03
202,Canary Islands,40,ES,1621730710,87,28.0,-15.5,61.59,19.64
203,Adrar,51,MR,1621730200,19,20.5022,-10.0711,88.63,10.25
204,Moose Factory,90,CA,1621730710,86,51.2585,-80.6094,33.8,12.66
205,Majenang,100,ID,1621730710,82,-7.2975,108.7642,80.62,1.92
206,Urucará,90,BR,1621730194,96,-2.5364,-57.76,74.66,2.53
207,Constitución,0,CL,1621730196,75,-35.3333,-72.4167,52.47,8.37
208,Makakilo City,75,US,1621730293,54,21.3469,-158.0858,84.52,13.8
209,Katsuura,58,JP,1621730552,74,35.1333,140.3,66.31,14.14
210,Lagoa,16,PT,1621730220,63,39.05,-27.9833,58.46,7.96
211,Felipe Carrillo Puerto,68,MX,1621730650,79,19.5833,-88.05,77.58,4.34
212,Buraidah,53,SA,1621730712,17,26.326,43.975,88.25,8.12
213,Pevek,100,RU,1621730191,86,69.7008,170.3133,31.28,3.78
214,Alofi,100,NU,1621730713,89,-19.0595,-169.9187,80.49,9.22
215,Yen Bai,99,VN,1621730417,91,21.7,104.8667,83.19,0.74
216,Margate,70,GB,1621730714,81,51.3813,1.3862,48.0,1.99
217,Lahad Datu,92,MY,1621730714,74,5.0268,118.327,83.23,2.75
218,Cap Malheureux,2,MU,1621730317,74,-19.9842,57.6142,69.48,1.99
219,Saint-Philippe,78,RE,1621730172,71,-21.3585,55.7679,69.39,12.88
220,Ol'khovatka,100,RU,1621730715,86,50.2831,39.2872,53.44,5.28
221,Taree,0,AU,1621730716,77,-31.9,152.4667,68.34,8.05
222,Anito,0,PH,1621730716,67,12.4497,125.2886,85.33,5.3
223,Ponta do Sol,99,PT,1621730188,76,32.6667,-17.1,65.03,11.41
224,Pisco,90,PE,1621730269,82,-13.7,-76.2167,66.02,10.36
225,Hilo,75,US,1621730176,79,19.7297,-155.09,80.33,12.66
226,Bathsheba,75,BB,1621730269,69,13.2167,-59.5167,80.6,27.63
227,Berlevåg,100,NO,1621730717,60,70.8578,29.0864,34.12,16.67
228,Lorengau,83,PG,1621730257,66,-2.0226,147.2712,86.5,5.77
229,Bosaso,93,SO,1621730718,62,11.2842,49.1816,87.1,4.43
230,São João da Barra,96,BR,1621730253,81,-21.6403,-41.0511,75.31,9.53
231,Warrnambool,100,AU,1621730719,75,-38.3833,142.4833,54.0,5.01
232,Arrondissement d'Ajaccio,0,FR,1621730719,64,42.0,8.9167,55.45,3.02
233,Iqaluit,75,CA,1621730322,67,63.7506,-68.5145,19.13,11.99
234,Leeton,0,AU,1621730334,48,-34.5667,146.4,60.71,4.81
235,Kumul,1,CN,1621730315,15,42.8,93.45,60.42,11.48
236,Tiarei,82,PF,1621730717,75,-17.5333,-149.3333,86.0,13.98
237,Champerico,1,GT,1621730720,72,14.3,-91.9167,88.34,7.76
238,Nikolskoye,66,RU,1621730184,97,59.7035,30.7861,46.29,4.29
239,Faya,0,SA,1621730721,42,18.3851,42.4509,69.8,6.91
240,Grindavik,75,IS,1621730227,83,63.8424,-22.4338,40.95,8.95
241,Mogadouro,0,PT,1621730527,72,41.3403,-6.7119,40.78,3.02
242,Salinópolis,58,BR,1621730721,81,-0.6136,-47.3561,80.53,10.54
243,Mulegé,0,MX,1621730722,47,26.8833,-111.9833,78.73,5.37
244,Andenes,3,NO,1621730722,60,69.3143,16.1194,35.58,19.57
245,Kloulklubed,99,PW,1621730262,72,7.0419,134.2556,84.7,6.08
246,Rio Verde de Mato Grosso,62,BR,1621730723,95,-18.9181,-54.8442,70.05,1.43
247,Cayenne,75,GF,1621730723,90,4.9333,-52.3333,79.09,3.0
248,The Valley,40,AI,1621730261,74,18.217,-63.0578,82.4,11.5
249,Faanui,2,PF,1621730277,69,-16.4833,-151.75,81.55,11.54
250,Yinchuan,1,CN,1621730649,23,38.4681,106.2731,59.7,2.8
251,Korla,0,CN,1621730254,27,41.7597,86.1469,64.8,4.74
252,Hambantota,40,LK,1621730724,81,6.1241,81.1185,79.14,16.89
253,Vila Velha,0,BR,1621730724,80,-20.3297,-40.2925,75.15,3.0
254,San Quintín,0,MX,1621730725,63,30.4833,-115.95,60.15,18.52
255,Irbeyskoye,100,RU,1621730725,83,55.6428,95.4522,46.51,6.55
256,San Cristobal,100,VE,1621730088,91,7.7669,-72.225,77.18,3.09
257,Necochea,100,AR,1621730725,84,-38.5473,-58.7368,55.04,26.87
258,Koróni,11,GR,1621730726,68,36.8,21.95,63.07,7.31
259,Yarmouth,20,US,1621730726,72,41.7057,-70.2286,70.23,3.0
260,Preobrazheniye,0,RU,1621730727,70,42.9019,133.9064,61.32,4.9
261,Matayumtayum,100,PH,1621730727,62,15.5166,120.7098,87.35,4.27
262,Zhongxing,100,CN,1621730728,71,33.7039,118.6792,65.82,5.59
263,Tessalit,8,ML,1621730728,23,20.1986,1.0114,91.94,3.49
264,Barão de Melgaço,100,BR,1621730728,95,-16.1944,-55.9675,79.32,3.42
265,Road Town,40,VG,1621730163,78,18.4167,-64.6167,82.49,13.8
266,Acaraú,97,BR,1621730729,76,-2.8856,-40.12,79.32,13.76
267,Zhangaözen,0,KZ,1621730729,16,43.3,52.8,78.6,19.46
268,Fairbanks,90,US,1621729933,50,64.8378,-147.7164,53.56,14.97
269,Dīr,100,PK,1621730543,66,35.2058,71.8756,60.4,6.29
270,Balikpapan,100,ID,1621730730,87,-1.2675,116.8289,79.18,3.02
271,Egvekinot,99,RU,1621730176,99,66.3167,-179.1667,29.28,3.33
272,Vostok,0,RU,1621730360,31,46.4856,135.8833,75.56,3.36
273,Mangan,2,IN,1621730731,57,27.5167,88.5333,77.9,1.28
274,High Level,40,CA,1621730731,28,58.5169,-117.136,75.31,6.69
275,Boa Vista,75,BR,1621730732,74,2.8197,-60.6733,82.4,13.8
276,Emba,6,KZ,1621730732,38,48.8264,58.1442,67.48,3.06
277,Maraã,100,BR,1621730733,98,-1.8333,-65.3667,74.98,2.01
278,Ouango,100,CF,1621730733,99,4.3133,22.5552,71.06,4.43
279,Elko,12,US,1621730712,69,41.0002,-115.5012,44.62,4.0
280,Krasnyy Chikoy,100,RU,1621730734,60,50.3643,108.7512,42.84,16.89
281,Bambous Virieux,75,MU,1621730207,72,-20.3428,57.7575,69.22,17.76
282,Henties Bay,0,NA,1621730734,35,-22.116,14.2845,70.86,9.71
283,Sirte,0,LY,1621730735,67,31.2089,16.5887,67.86,14.52
284,Moshi,100,TZ,1621730735,87,-3.35,37.3333,64.22,1.63
285,Barranco,90,PA,1621730736,89,9.5167,-82.7,78.8,3.33
286,Inta,24,RU,1621730736,49,66.0317,60.1659,57.43,15.26
287,Pala,98,TD,1621730477,62,9.3642,14.9046,79.32,5.77
288,Ust'-Ilimsk,14,RU,1621730601,35,58.0006,102.6619,50.92,3.78
289,Kourou,75,GF,1621730737,100,5.1552,-52.6478,79.0,8.55
290,Santa Lucía,40,ES,1621730737,68,27.9117,-15.5407,69.01,26.46
291,San Patricio,100,US,1621730192,82,28.017,-97.5169,81.28,14.2
292,Moussoro,72,TD,1621730738,12,13.6408,16.4901,86.76,10.56
293,Belūsovka,19,KZ,1621730738,73,50.1339,82.5239,47.25,2.89
294,Zomba,27,MW,1621730739,89,-15.386,35.3188,56.64,3.09
295,Jinchang,1,CN,1621730739,26,38.4953,102.1739,52.09,3.65
296,Bolshaya Sosnova,100,RU,1621730740,82,57.6713,54.6029,53.67,1.74
297,Doka,75,SD,1621730740,14,13.5167,35.7667,85.51,6.17
298,Viana,40,BR,1621730741,75,-20.3903,-40.4961,74.97,4.23
299,Bjelovar,100,HR,1621730741,82,45.8986,16.8489,55.4,0.6
300,Saint Paul Harbor,1,US,1621730174,62,57.79,-152.4072,53.11,8.05
301,Rochegda,9,RU,1621730742,80,62.8,43.25,49.89,8.93
302,Livingstone,4,ZM,1621730742,58,-17.8419,25.8543,54.0,5.37
303,Hurghada,0,EG,1621730742,48,27.2574,33.8129,72.21,27.22
304,Port Macquarie,0,AU,1621730743,65,-31.4333,152.9167,68.0,7.78
305,Ambilobe,9,MG,1621730358,84,-13.2,49.05,65.97,3.11
306,Grand Gaube,3,MU,1621730743,74,-20.0064,57.6608,69.39,1.99
307,Kalmunai,100,LK,1621730744,75,7.4167,81.8167,80.06,5.88
308,Miranda,100,CO,1621730744,94,3.2499,-76.2281,75.33,4.94
309,Hamilton,1,US,1621730196,63,39.1834,-84.5333,81.79,3.47
310,Worland,90,US,1621730745,50,44.0169,-107.9554,53.6,10.36
311,Puerto Rico,6,AR,1621730745,84,-26.796,-55.024,52.14,1.79
312,Manono,90,CD,1621730745,61,-7.3,27.4167,67.73,1.9
313,Zhigansk,11,RU,1621730363,46,66.7697,123.3711,41.14,1.19
314,Ixtapa,1,MX,1621730512,69,20.7,-105.2,81.63,12.66
315,Makokou,100,GA,1621730746,98,0.5738,12.8642,69.31,2.19
316,Jinxiang,98,CN,1621730747,85,27.4327,120.6062,70.65,1.21
317,Kavieng,99,PG,1621730195,74,-2.5744,150.7967,83.75,1.39
318,Paran'ga,100,RU,1621730747,86,56.7039,49.4047,50.81,1.59
319,Harrisburg,20,US,1621730587,50,40.2737,-76.8844,82.92,12.66
320,Iglesias,56,IT,1621730748,58,39.3114,8.535,61.63,1.41
321,Ilhabela,100,BR,1621730748,74,-23.7781,-45.3581,72.59,4.32
322,Saint-Augustin,100,CA,1621730749,95,51.226,-58.6502,40.5,10.38
323,Bara,100,NG,1621730749,71,10.3744,10.7288,78.93,11.79
324,Calderitas,92,MX,1621730749,77,18.55,-88.25,84.0,11.25
325,Beringovskiy,100,RU,1621730324,91,63.05,179.3167,31.98,4.18
326,Iranshahr,0,IR,1621730750,10,27.2025,60.6848,82.74,0.0
327,Samarai,100,PG,1621730750,64,-10.6167,150.6667,80.69,12.84
328,Presidencia Roque Sáenz Peña,0,AR,1621730751,60,-26.7852,-60.4388,54.91,3.91
329,Stavern,100,NO,1621730751,84,59.0,10.0333,51.31,12.59
330,Poções,9,BR,1621730751,84,-14.5297,-40.3653,61.77,3.22
331,Hamina,74,FI,1621730752,93,60.5697,27.1979,43.88,4.5
332,Baghdad,0,IQ,1621730725,22,33.3406,44.4009,85.91,14.25
333,Griffith,1,US,1621730752,48,41.5284,-87.4237,84.4,1.01
334,Nakamura,3,JP,1621730753,45,32.9833,132.9333,77.47,2.08
335,Kalengwa,0,ZM,1621730753,66,-13.4659,25.0027,51.98,5.5
336,Kenai,1,US,1621730276,62,60.5544,-151.2583,53.6,14.97
337,Inyonga,87,TZ,1621730754,76,-6.7167,32.0667,61.21,4.92
338,Ascension,71,US,1621730754,77,30.2169,-90.9001,77.22,9.89
339,Uch,6,FR,1621730755,83,45.3192,-0.9345,48.4,7.38
340,Morros,0,BR,1621730755,53,-9.4467,-46.3003,75.13,2.13
341,Oistins,75,BB,1621730756,69,13.0667,-59.5333,80.69,27.63
342,Te Anau,4,NZ,1621730629,70,-45.4167,167.7167,50.43,0.74
343,Biak,98,ID,1621730756,83,-0.9131,122.8766,78.39,5.93
344,Camacha,20,PT,1621730054,63,33.0833,-16.3333,61.56,14.97
345,Rahimatpur,76,IN,1621730757,80,17.6,74.2,74.14,4.03
346,Manta,75,EC,1621730557,83,-0.95,-80.7333,74.98,9.22
347,Port Blair,100,IN,1621730165,88,11.6667,92.75,80.8,17.9
348,Tahe,100,CN,1621730758,98,52.3333,124.7333,38.05,2.77
349,Muli,100,MV,1621730758,77,2.9167,73.5667,83.08,16.13
350,Harper,55,LR,1621730758,81,4.375,-7.7169,79.57,7.23
351,Tommot,100,RU,1621730189,37,58.9564,126.2925,49.57,10.4
352,North Myrtle Beach,1,US,1621730759,69,33.816,-78.68,75.49,6.91
353,Guerrero Negro,0,MX,1621730353,55,27.9769,-114.0611,63.03,22.1
354,Eyl,87,SO,1621730759,69,7.9803,49.8164,80.51,18.72
355,Vanimo,100,PG,1621730175,65,-2.6741,141.3028,86.05,0.67
356,Maragogi,51,BR,1621730177,69,-9.0122,-35.2225,77.27,7.34
357,Ceres,1,US,1621730760,22,37.5949,-120.9577,78.8,13.8
